data_origin;substance_id;matrix_id;min_value_ng_l;max_value_ng_l;point_value_ng_l;reference_id;DOI;Year;comments
literature;pfhxs;hwwt;;;7;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfoa;hwwt;;;6;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfna;hwwt;;;3;R. Bossi et al, Environment International 34 (2008) 443-450 ;10.1016/j.envint.2007.10.002;2008;Table 3
literature;pfos;hwwt;;;14;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfoa;hwwt;;;16;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfos;hwwt;;;16;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfoa;hwwt;;;11;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfos;hwwt;;;25;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfoa;hwwt;;;26;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfos;hwwt;;;23;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfoa;hwwt;;;8;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfos;hwwt;;;15;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfoa;hwwt;;;21;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfos;hwwt;;;12;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
literature;pfoa;hwwt;;;17;J. Yu et al.,water research 43 (2009) 2399-2408 ;10.1016/j.watres.2009.03.009;2009;Tables 2-3-4
